Año,Trimestre,Indicador,Categoria,Estado,Valor,Agregacion
2014,4,i45,e,0,0,N
2014,4,i45,f,0,0,N
2014,4,i45,g,0,0,N
2014,4,i45,h,0,0,N
2014,4,i45,i,0,0,N
2014,4,i45,j,0,0,N
2014,4,i45,k,0,0,N
2014,4,i45,l,0,0,N
2014,4,i45,m,0,0,N
2014,4,i45,n,0,0,N
2014,4,i45,o,0,0,N
2014,4,i45,p,0,0,N
2014,4,i45,q,0,0,N
2014,4,i45,r,0,0,N
2014,4,i45,s,0,0,N
2014,4,i45,t,0,0,N
2014,4,i45,u,0,0,N
2014,4,i45,v,0,0,N
2014,4,i45,w,0,0,N
2014,4,i45,x,0,0,N
2014,4,i45,y,0,0,N
2014,4,i45,z,0,0,N
2015,1,i45,a,0,0.125,N
2015,1,i45,b,0,0,N
2015,1,i45,c,0,1,N
2015,1,i45,d,0,0,N
2015,1,i45,e,0,0,N
2015,1,i45,f,0,0,N
2015,1,i45,g,0,0,N
2015,1,i45,h,0,0,N
2015,1,i45,i,0,0,N
2015,1,i45,j,0,0,N
2015,1,i45,k,0,0,N
2015,1,i45,l,0,0,N
2015,1,i45,m,0,0,N
2015,1,i45,n,0,0,N
2015,1,i45,o,0,0,N
2015,1,i45,p,0,0,N
2015,1,i45,q,0,0,N
2015,1,i45,r,0,0,N
2015,1,i45,s,0,0,N
2015,1,i45,t,0,0,N
2015,1,i45,u,0,0,N
2015,1,i45,v,0,0,N
2015,1,i45,w,0,0,N
2015,1,i45,x,0,0,N
2015,1,i45,y,0,0,N
2015,1,i45,z,0,0,N
2015,2,i45,a,0,1,N
2015,2,i45,b,0,1,N
2015,2,i45,c,0,0,N
2015,2,i45,d,0,1,N
2015,2,i45,e,0,0,N
2015,2,i45,f,0,0,N
2015,2,i45,g,0,0,N
2015,2,i45,h,0,0,N
2015,2,i45,i,0,0,N
2015,2,i45,j,0,0,N
2015,2,i45,k,0,0,N
2015,2,i45,l,0,0,N
2015,2,i45,m,0,0,N
2015,2,i45,n,0,0,N
2015,2,i45,o,0,0,N
2015,2,i45,p,0,0,N
2015,2,i45,q,0,0,N
2015,2,i45,r,0,0,N
2015,2,i45,s,0,0,N
2015,2,i45,t,0,0,N
2015,2,i45,u,0,0,N
2015,2,i45,v,0,0,N
2015,2,i45,w,0,0,N
2015,2,i45,x,0,0,N
2015,2,i45,y,0,0,N
2015,2,i45,z,0,0,N
2015,3,i45,a,0,0.25,N
2015,3,i45,b,0,0,N
2015,3,i45,c,0,0,N
2015,3,i45,d,0,0,N
2015,3,i45,e,0,0,N
2015,3,i45,f,0,0,N
2015,3,i45,g,0,0.2,N
2015,3,i45,h,0,1,N
2015,3,i45,i,0,0,N
2015,3,i45,j,0,0,N
2015,3,i45,k,0,0,N
2015,3,i45,l,0,0,N
2015,3,i45,m,0,0,N
2015,3,i45,n,0,0,N
2015,3,i45,o,0,0,N
2015,3,i45,p,0,0,N
2015,3,i45,q,0,0,N
2015,3,i45,r,0,0,N
2015,3,i45,s,0,0,N
2015,3,i45,t,0,0,N
2015,3,i45,u,0,0,N
2015,3,i45,v,0,0,N
2015,3,i45,w,0,0,N
2015,3,i45,x,0,0,N
2015,3,i45,y,0,0,N
2015,3,i45,z,0,0,N
2015,4,i45,a,0,0.758145363408522,N
2015,4,i45,b,0,1,N
2015,4,i45,c,0,0,N
2015,4,i45,d,0,0,N
2015,4,i45,e,0,1.5,N
2015,4,i45,f,0,0,N
2015,4,i45,g,0,0.333333333333333,N
2015,4,i45,h,0,0,N
2015,4,i45,i,0,0,N
2015,4,i45,j,0,0,N
2015,4,i45,k,0,0,N
2015,4,i45,l,0,0,N
2015,4,i45,m,0,0,N
2015,4,i45,n,0,1,N
2015,4,i45,o,0,1,N
2015,4,i45,p,0,0,N
2015,4,i45,q,0,0,N
2015,4,i45,r,0,0,N
2015,4,i45,s,0,1,N
2015,4,i45,t,0,0,N
2015,4,i45,u,0,0,N
2015,4,i45,v,0,0,N
2015,4,i45,w,0,1,N
2015,4,i45,x,0,0,N
2015,4,i45,y,0,0,N
2015,4,i45,z,0,0,N
2016,1,i45,a,0,1.16071428571429,N
2016,1,i45,b,0,0,N
2016,1,i45,c,0,0,N
2016,1,i45,d,0,0,N
2016,1,i45,e,0,0,N
2016,1,i45,f,0,0,N
2016,1,i45,g,0,0,N
2016,1,i45,h,0,0,N
2016,1,i45,i,0,0,N
2016,1,i45,j,0,0,N
2016,1,i45,k,0,0,N
2016,1,i45,l,0,0,N
2016,1,i45,m,0,0,N
2016,1,i45,n,0,0,N
2016,1,i45,o,0,0,N
2016,1,i45,p,0,0,N
2016,1,i45,q,0,0,N
2016,1,i45,r,0,0,N
2016,1,i45,s,0,0,N
2016,1,i45,t,0,0,N
2016,1,i45,u,0,0,N
2016,1,i45,v,0,1,N
2016,1,i45,w,0,0,N
2016,1,i45,x,0,0,N
2016,1,i45,y,0,0,N
2016,1,i45,z,0,0,N
2016,2,i45,a,0,0.884615384615385,N
2016,2,i45,b,0,0,N
2016,2,i45,c,0,0,N
2016,2,i45,d,0,0,N
2016,2,i45,e,0,0,N
2016,2,i45,f,0,0,N
2016,2,i45,g,0,0,N
2016,2,i45,h,0,0,N
2016,2,i45,i,0,0,N
2016,2,i45,j,0,0,N
2016,2,i45,k,0,0,N
2016,2,i45,l,0,0,N
2016,2,i45,m,0,0,N
2016,2,i45,n,0,0,N
2016,2,i45,o,0,0,N
2016,2,i45,p,0,0,N
2016,2,i45,q,0,0,N
2016,2,i45,r,0,0,N
2016,2,i45,s,0,0,N
2016,2,i45,t,0,0,N
2016,2,i45,u,0,0,N
2016,2,i45,v,0,1,N
2016,2,i45,w,0,0,N
2016,2,i45,x,0,0,N
2016,2,i45,y,0,0,N
2016,2,i45,z,0,0,N
2016,3,i45,a,0,0.966666666666667,N
2016,3,i45,b,0,0,N
2016,3,i45,c,0,0,N
2016,3,i45,d,0,1,N
2016,3,i45,e,0,0,N
2016,3,i45,f,0,0,N
2016,3,i45,g,0,0,N
2016,3,i45,h,0,0,N
2016,3,i45,i,0,0,N
2016,3,i45,j,0,0,N
2016,3,i45,k,0,0,N
2016,3,i45,l,0,0,N
2016,3,i45,m,0,0,N
2016,3,i45,n,0,0,N
2016,3,i45,o,0,1,N
2016,3,i45,p,0,0,N
2016,3,i45,q,0,0,N
2016,3,i45,r,0,0,N
2016,3,i45,s,0,0,N
2016,3,i45,t,0,0,N
2016,3,i45,u,0,0,N
2016,3,i45,v,0,0,N
2016,3,i45,w,0,0,N
2016,3,i45,x,0,0,N
2016,3,i45,y,0,0,N
2016,3,i45,z,0,0,N
2016,4,i45,a,0,0.871826141338337,N
2016,4,i45,b,0,0,N
2016,4,i45,c,0,0,N
2016,4,i45,d,0,1,N
2016,4,i45,e,0,0,N
2016,4,i45,f,0,0,N
2016,4,i45,g,0,0,N
2016,4,i45,h,0,0,N
2016,4,i45,i,0,0,N
2016,4,i45,j,0,0,N
2016,4,i45,k,0,0,N
2016,4,i45,l,0,0,N
2016,4,i45,m,0,0,N
2016,4,i45,n,0,0,N
2016,4,i45,o,0,1,N
2016,4,i45,p,0,0,N
2016,4,i45,q,0,0,N
2016,4,i45,r,0,0,N
2016,4,i45,s,0,0,N
2016,4,i45,t,0,0,N
2016,4,i45,u,0,0,N
2016,4,i45,v,0,1,N
2016,4,i45,w,0,0,N
2016,4,i45,x,0,0,N
2016,4,i45,y,0,0,N
2016,4,i45,z,0,0.5,N
2017,1,i45,a,0,0.847222222222222,N
2017,1,i45,b,0,0,N
2017,1,i45,c,0,0,N
2017,1,i45,d,0,0.666666666666667,N
2017,1,i45,e,0,0,N
2017,1,i45,f,0,0,N
2017,1,i45,g,0,0,N
2017,1,i45,h,0,0,N
2017,1,i45,i,0,0,N
2017,1,i45,j,0,0,N
2017,1,i45,k,0,0,N
2017,1,i45,l,0,0,N
2017,1,i45,m,0,0,N
2017,1,i45,n,0,0,N
2017,1,i45,o,0,0,N
2017,1,i45,p,0,0,N
2017,1,i45,q,0,0,N
2017,1,i45,r,0,0,N
2017,1,i45,s,0,0,N
2017,1,i45,t,0,0,N
2017,1,i45,u,0,0,N
2017,1,i45,v,0,1,N
2017,1,i45,w,0,0,N
2017,1,i45,x,0,0,N
2017,1,i45,y,0,0,N
2017,1,i45,z,0,0,N
2017,2,i45,a,0,0.101376720901126,N
2017,2,i45,b,0,0,N
2017,2,i45,c,0,0,N
2017,2,i45,d,0,0,N
2017,2,i45,e,0,0,N
2017,2,i45,f,0,0,N
2017,2,i45,g,0,0,N
2017,2,i45,h,0,0,N
2017,2,i45,i,0,0,N
2017,2,i45,j,0,0,N
2017,2,i45,k,0,0,N
2017,2,i45,l,0,0,N
2017,2,i45,m,0,0,N
2017,2,i45,n,0,0,N
2017,2,i45,o,0,0,N
2017,2,i45,p,0,0,N
2017,2,i45,q,0,0,N
2017,2,i45,r,0,0,N
2017,2,i45,s,0,0,N
2017,2,i45,t,0,0,N
2017,2,i45,u,0,0,N
2017,2,i45,v,0,0.25,N
2017,2,i45,w,0,0,N
2017,2,i45,x,0,0,N
2017,2,i45,y,0,0,N
2017,2,i45,z,0,0,N
